"IndividualId","Time [min]","Organism|VenousBlood|Plasma|Aciclovir|Concentration [µmol/l]","Organism|ArterialBlood_UmbilicalCord|Plasma|Aciclovir|Concentration [µmol/l]","Organism|VenousBlood_UmbilicalCord|Plasma|Aciclovir|Concentration [µmol/l]"
0,0,0,0,0
0,3,0.00013444688,1.03226504E-10,4.5136526E-09
0,6,0.0022341888,2.6415542E-08,5.0054825E-07
0,9,0.010141626,4.38442E-07,5.29058E-06
0,12,0.028299928,2.781521E-06,2.4811778E-05
0,15,0.060684107,1.0867511E-05,7.7309334E-05
0,18,0.1101407,3.1676493E-05,0.00018805194
0,21,0.17818183,7.584103E-05,0.00038733255
0,24,0.2650304,0.00015765212,0.0007080521
0,27,0.36978552,0.0002946587,0.0011833723
0,30,0.49064904,0.0005069474,0.0018446816
0,33,0.62516594,0.00081624533,0.002719984
0,36,0.7704584,0.0012449417,0.0038327363
0,39,0.9234371,0.0018151171,0.0052011185
0,42,1.0809802,0.0025476494,0.0068376716
0,45,1.2400738,0.0034614443,0.008749291
0,48,1.397917,0.004572831,0.010937483
0,51,1.551995,0.00589511,0.013398763
0,54,1.70011,0.007438271,0.016125206
0,57,1.8404002,0.009208856,0.019105054
0,60,1.9713644,0.011209951,0.022323336
0,63,2.0918486,0.013441283,0.025762528
0,66,2.2010236,0.015899427,0.029403184
0,69,2.2983556,0.018578073,0.033224534
0,72,2.3835738,0.021468347,0.037205018
0,75,2.4566371,0.02455916,0.04132274
0,78,2.5177028,0.027837548,0.045555852
0,81,2.5670905,0.03128906,0.049882926
0,84,2.6052501,0.034898125,0.054283258
0,87,2.6327367,0.038648386,0.05873705
0,90,2.6501842,0.04252297,0.06322558
0,93,2.658282,0.04650481,0.06773134
0,96,2.6577551,0.050576888,0.07223813
0,99,2.6493466,0.05472245,0.0767311
0,102,2.633803,0.058925204,0.081196755
0,105,2.611863,0.06316946,0.08562297
0,108,2.5842457,0.067440264,0.08999897
0,111,2.5516443,0.071723536,0.09431527
0,114,2.51472,0.07600607,0.09856363
0,117,2.474097,0.08027564,0.10273695
0,120,2.4303603,0.084521,0.106829286
0,123,2.3840528,0.088731915,0.11083568
0,126,2.3356743,0.09289915,0.11475214
0,129,2.285683,0.097014464,0.11857554
0,132,2.2344942,0.101070546,0.12230355
0,135,2.182484,0.105061024,0.12593454
0,138,2.1299875,0.10898041,0.12946752
0,141,2.0773036,0.11282403,0.13290209
0,144,2.0246964,0.116588004,0.13623832
0,147,1.9723959,0.12026916,0.13947675
0,150,1.9206004,0.123865016,0.14261828
0,153,1.8694686,0.12737368,0.14566417
0,156,1.8191141,0.13079387,0.14861588
0,159,1.7696347,0.13412473,0.15147509
0,162,1.7211332,0.1373659,0.1542436
0,165,1.6736896,0.14051741,0.1569234
0,168,1.6273644,0.14357962,0.15951657
0,171,1.5822135,0.14655317,0.16202532
0,174,1.5382782,0.14943902,0.1644519
0,177,1.495586,0.15223835,0.1667986
0,180,1.4541565,0.15495253,0.16906784
0,183,1.4140002,0.15758307,0.17126194
0,186,1.3751194,0.1601317,0.1733833
0,189,1.33751,0.1626002,0.17543428
0,192,1.301161,0.16499047,0.17741725
0,195,1.266057,0.1673045,0.17933452
0,198,1.2321779,0.16954431,0.18118837
0,201,1.1995009,0.17171197,0.18298107
0,204,1.168,0.17380957,0.1847148
0,207,1.1376469,0.17583925,0.1863917
0,210,1.1084113,0.17780308,0.18801385
0,213,1.0802618,0.17970319,0.18958329
0,216,1.0531663,0.18154164,0.19110197
0,219,1.0270916,0.18332049,0.1925718
0,222,1.0020049,0.18504177,0.19399464
0,225,0.9778724,0.18670745,0.19537224
0,228,0.9546613,0.18831949,0.19670634
0,231,0.9323388,0.18987979,0.19799858
0,234,0.9108726,0.1913902,0.19925056
0,237,0.89023095,0.19285251,0.20046382
0,240,0.87038296,0.19426848,0.20163983
0,243,0.8512984,0.1956398,0.20278002
0,246,0.83294785,0.19696814,0.20388575
0,249,0.81530285,0.19825506,0.20495833
0,252,0.79833585,0.19950213,0.20599905
0,255,0.7820201,0.2007108,0.20700906
0,258,0.7663299,0.20188256,0.20798959
0,261,0.7512405,0.20301872,0.20894171
0,264,0.736728,0.20412068,0.20986652
0,267,0.72276944,0.2051897,0.21076505
0,270,0.7093428,0.20622702,0.21163827
0,273,0.6964269,0.20723382,0.21248713
0,276,0.68400145,0.20821124,0.21331257
0,279,0.672047,0.20916042,0.21411543
0,282,0.6605449,0.21008238,0.21489656
0,285,0.6494772,0.21097815,0.21565679
0,288,0.6388268,0.21184872,0.21639685
0,291,0.6285774,0.21269502,0.21711753
0,294,0.6187133,0.21351795,0.21781953
0,297,0.60921943,0.2143184,0.21850353
0,300,0.60008144,0.21509717,0.2191702
0,303,0.5912856,0.2158551,0.21982016
0,306,0.5828187,0.21659297,0.22045404
0,309,0.57466817,0.21731147,0.22107242
0,312,0.566822,0.21801136,0.22167586
0,315,0.55926853,0.2186933,0.2222649
0,318,0.5519968,0.21935797,0.22284007
0,321,0.5449962,0.22000597,0.22340187
0,324,0.53825665,0.22063795,0.2239508
0,327,0.5317683,0.22125448,0.2244873
0,330,0.525522,0.22185612,0.22501186
0,333,0.5195087,0.2224434,0.22552486
0,336,0.51372004,0.22301687,0.22602674
0,339,0.50814766,0.22357702,0.2265179
0,342,0.5027837,0.22412434,0.22699873
0,345,0.4976208,0.22465928,0.22746961
0,348,0.49265158,0.2251823,0.22793089
0,351,0.48786917,0.22569384,0.22838292
0,354,0.4832669,0.22619429,0.22882602
0,357,0.47883835,0.22668408,0.22926053
0,360,0.4745774,0.22716357,0.22968675
0,363,0.47047782,0.22763316,0.23010498
0,366,0.46653116,0.22809318,0.23051552
0,369,0.4627268,0.228544,0.23091863
0,372,0.45905057,0.22898594,0.23131455
0,375,0.45548952,0.2294193,0.23170355
0,378,0.45203096,0.2298444,0.23208582
0,381,0.448669,0.23026153,0.23246153
0,384,0.44539884,0.23067093,0.23283087
0,387,0.44222057,0.23107286,0.233194
0,390,0.4391305,0.23146755,0.23355106
0,393,0.43612635,0.2318552,0.23390222
0,396,0.43320295,0.23223604,0.23424765
0,399,0.43035758,0.23261027,0.2345875
0,402,0.42758647,0.23297806,0.23492192
0,405,0.4248886,0.23333962,0.23525101
0,408,0.42226225,0.2336951,0.23557493
0,411,0.4197068,0.23404469,0.23589379
